Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes Sent,Bytes Received,Elapsed Time (sec)
57222,53,54587,53,allow,94,83,30
56258,3389,56258,3389,allow,1600,3168,17
6881,50321,43265,50321,allow,118,120,1199
50553,3389,50553,3389,allow,1438,1889,17
50002,443,45848,443,allow,6778,18580,16
51465,443,39975,443,allow,1595,2366,16
60513,47094,45469,47094,allow,140,180,7
50049,443,21285,443,allow,3269,4643,96
52244,58774,2211,58774,allow,70,0,5
50627,443,16215,443,allow,1674,6582,75
43676,80,45378,80,allow,378,318,35
52190,443,16680,443,allow,870,7072,15
50690,80,20479,80,allow,3639,1166,31
55597,53,45448,53,allow,86,82,30
49164,443,45916,443,allow,950,6342,75
36887,443,63451,443,allow,2532,8390,28
1939,53,33288,53,allow,78,132,30
50281,53,33175,53,allow,102,93,30
57222,53,51448,53,allow,94,83,30
56710,53,57885,53,allow,94,83,30
48488,443,26104,443,allow,3240,9753,24
50691,80,62082,80,allow,3610,627,31
50693,80,54649,80,allow,3390,1075,30
1940,53,23603,53,allow,78,132,30
50172,53,37056,53,allow,78,133,30
38802,53,38802,53,allow,90,126,30
50281,53,8038,53,allow,102,93,30
50051,443,1683,443,allow,3269,4643,96
52192,443,41129,443,allow,1150,12798,15
57886,443,10717,443,allow,25477,8190,33
50289,80,7131,80,allow,1086,6080,87
58615,443,30095,443,allow,1541,5255,121
38551,53,14191,53,allow,78,90,30
64787,53,29856,53,allow,102,626,30
34529,443,30445,443,allow,30891,31761,381
52184,443,13267,443,allow,3253,10649,135
60377,443,34261,443,allow,2974,5704,123
59347,80,59347,80,allow,4633,104157,15
50077,443,40548,443,allow,3333,4643,25
50149,80,2917,80,allow,901,10673,46
50004,443,10108,443,allow,2603,6142,15
60411,80,48309,80,allow,941,648,121
60354,80,7611,80,allow,256,388,124
60399,80,36861,80,allow,815,353,122
60348,80,15161,80,allow,1617,8718,124
60420,80,1065,80,allow,6454,8044,120
60423,443,61729,443,allow,1103,5746,120
60360,443,62556,443,allow,1101,4111,123
60363,443,28558,443,allow,1101,4113,123
9523,443,27776,443,allow,1410,5789,33
63842,45682,31353,45682,allow,3850148,837061,107
60430,443,49199,443,allow,1143,4553,119
59878,443,30562,443,allow,2812,1052,112
53179,12502,28254,12502,allow,70,0,7
60414,80,46472,80,allow,3499,1625,121
60400,80,41884,80,allow,808,896,122
60407,443,49458,443,allow,1611,6717,121
60398,80,57820,80,allow,192,186,122
60339,80,1887,80,allow,7862,27274,124
38641,443,31615,443,allow,192,126,14
54996,53,2476,53,allow,86,82,31
48066,443,56844,443,allow,62,0,4
60811,40010,33835,40010,allow,136,180,5
52103,80,61932,80,allow,5515,62568,38
52195,443,11275,443,allow,1150,12798,15
50000,53,16568,53,allow,115,387,52
52193,443,50924,443,allow,1150,12798,15
55234,53,5157,53,allow,94,83,29
50692,80,30484,80,allow,3584,2143,31
60370,80,40899,80,allow,769,474,123
65401,53,57745,53,allow,102,133,29
51737,53,3505,53,allow,78,153,30
50685,80,6959,80,allow,26626,37265,34
52191,443,46265,443,allow,810,7072,15
54557,80,41721,80,allow,799,1292,15
48818,443,11974,443,allow,1669,2498,15
64223,53,57211,53,allow,94,105,30
49245,53,34102,53,allow,126,250,29
65258,443,17337,443,allow,1568,4475,120
64399,53,50659,53,allow,110,120,29
55234,53,22160,53,allow,94,83,30
64593,53,56394,53,allow,94,0,30
56911,53,36658,53,allow,94,83,31
53977,22266,9645,22266,allow,306,186,17
50148,80,57004,80,allow,868,8190,46
53178,42671,48767,42671,allow,70,0,8
52181,443,64436,443,allow,815,7040,15
65004,53,23515,53,allow,94,229,30
46265,443,19534,443,allow,9311,164517,448
49158,443,27828,443,allow,4227,10263,36
33067,53,47200,53,allow,78,90,30
56911,53,39355,53,allow,94,83,30
22767,53,22767,53,allow,106,120,30
52715,443,38027,443,allow,5975,158865,122
33845,80,39303,80,allow,210,214,27
61442,443,19223,443,allow,1891,1512,42
9446,443,50836,443,allow,1863,6809,46
52194,443,38386,443,allow,1090,11284,15
58306,443,59387,443,allow,436,428,29
42412,443,55628,443,allow,70,134,26
56710,53,52813,53,allow,94,83,30
61396,443,45721,443,allow,8433,542051,246
61273,443,55960,443,allow,8597,11078,480
50016,53,14072,53,allow,103,663,41
58307,443,36806,443,allow,506,428,29
55182,53,36739,53,allow,94,199,30
56911,53,31733,53,allow,94,83,30
41631,443,38429,443,allow,2917,17263,124
38637,443,8499,443,allow,2392,9947,287
45317,53,22055,53,allow,86,0,30
56704,53,2427,53,allow,94,224,30
49410,53,62890,53,allow,94,83,30
56504,53,45710,53,allow,102,0,30
50003,443,32664,443,allow,3042,10770,16
40737,443,35009,443,allow,3909,40095,135
38082,443,14308,443,allow,164,120,15
36036,443,36036,443,allow,32183,229051,212
55476,53,58894,53,allow,110,122,30
49395,53,40831,53,allow,111,279,53
56172,53,35826,53,allow,87,166,30
56624,53,36589,53,allow,94,83,31
57470,20220,32069,20220,allow,330,540,2308
33856,443,15413,443,allow,105740,8065288,149
59983,443,26904,443,allow,14073,282790,127
15503,63425,41497,63425,allow,150,331,1200
53987,16571,20059,16571,allow,70,0,5
53986,54070,39036,54070,allow,70,0,5
64094,1024,62040,1024,allow,70,0,5
64095,1976,59706,1976,allow,70,0,5
52126,443,21159,443,allow,1149,523,37
52144,80,16896,80,allow,240,126,33
50816,443,50681,443,allow,60,74,6
50057,80,26007,80,allow,754,816,16
52146,80,44068,80,allow,240,126,33
54139,53,64934,53,allow,78,90,31
49410,53,29049,53,allow,94,83,31
53994,16605,15809,16605,allow,70,0,8
35242,8635,35242,8635,allow,78,60,6
52148,80,27900,80,allow,240,126,33
49900,443,28761,443,allow,1101,719,73
43931,53,36161,53,allow,78,90,31
51048,445,0,0,drop,70,0,0
51045,445,0,0,drop,70,0,0
13394,23,0,0,deny,60,0,0
61078,57470,0,0,deny,62,0,0
55725,445,0,0,drop,70,0,0
55723,445,0,0,drop,70,0,0
55724,445,0,0,drop,70,0,0
51125,445,0,0,drop,66,0,0
51123,445,0,0,drop,66,0,0
51122,445,0,0,drop,66,0,0
51121,445,0,0,drop,66,0,0
51126,445,0,0,drop,66,0,0
51124,445,0,0,drop,66,0,0
51120,445,0,0,drop,66,0,0
51119,445,0,0,drop,66,0,0
62776,62413,0,0,deny,146,0,0
51041,445,0,0,drop,70,0,0
46448,30170,0,0,deny,159,0,0
10688,25174,0,0,deny,146,0,0
34086,25174,0,0,deny,62,0,0
64605,25174,0,0,deny,62,0,0
51039,445,0,0,drop,70,0,0
56688,25174,0,0,deny,62,0,0
57015,42707,0,0,deny,62,0,0
41213,25174,0,0,deny,62,0,0
57131,8055,0,0,deny,145,0,0
45855,25174,0,0,deny,62,0,0
54483,25174,0,0,deny,66,0,0
45855,25174,0,0,deny,146,0,0
49990,62413,0,0,deny,66,0,0
1582,56205,0,0,deny,62,0,0
65003,57470,0,0,deny,78,0,0
55718,445,0,0,drop,70,0,0
55717,445,0,0,drop,70,0,0
55713,445,0,0,drop,70,0,0
55708,445,0,0,drop,70,0,0
63486,51505,0,0,deny,66,0,0
54100,37965,0,0,deny,62,0,0
51034,445,0,0,drop,70,0,0
51107,445,0,0,drop,66,0,0
51105,445,0,0,drop,66,0,0
51104,445,0,0,drop,66,0,0
1815,22114,0,0,deny,66,0,0
443,47582,0,0,deny,60,0,0
443,47582,0,0,deny,85,0,0
443,47582,0,0,deny,100,0,0
59126,57470,0,0,deny,66,0,0
27621,50584,0,0,deny,62,0,0
52266,50038,0,0,deny,66,0,0
56456,1433,0,0,deny,60,0,0
43537,2323,0,0,deny,60,0,0
40772,15503,0,0,deny,74,0,0
50594,25174,0,0,deny,66,0,0
4323,64147,0,0,deny,62,0,0
55703,445,0,0,drop,70,0,0
55701,445,0,0,drop,70,0,0
55696,445,0,0,drop,70,0,0
55698,445,0,0,drop,70,0,0
34349,25174,0,0,deny,146,0,0
39587,22114,0,0,deny,62,0,0
42542,25174,0,0,deny,62,0,0
49529,21247,0,0,deny,62,0,0
64579,37965,0,0,deny,66,0,0
51021,445,0,0,drop,70,0,0
53771,57470,0,0,deny,66,0,0
15701,37965,0,0,deny,146,0,0
4529,56205,0,0,deny,62,0,0
45060,37965,0,0,deny,62,0,0
32554,34729,0,0,deny,62,0,0
51018,445,0,0,drop,70,0,0
47913,25174,0,0,deny,146,0,0
55686,445,0,0,drop,70,0,0
55683,445,0,0,drop,70,0,0
55679,445,0,0,drop,70,0,0
2206,25174,0,0,deny,62,0,0
64808,62413,0,0,deny,62,0,0
17244,22114,0,0,deny,62,0,0
51095,445,0,0,drop,66,0,0
51014,445,0,0,drop,70,0,0
58925,25174,0,0,deny,66,0,0
32549,37807,0,0,deny,146,0,0
51012,445,0,0,drop,70,0,0
52838,37965,0,0,deny,66,0,0
34217,23,0,0,deny,60,0,0
52459,33890,0,0,deny,60,0,0
51010,445,0,0,drop,70,0,0
55678,445,0,0,drop,70,0,0
6666,3389,0,0,deny,60,0,0
1024,21854,0,0,reset-both,157,0,0
55677,445,0,0,drop,70,0,0
25533,22114,0,0,deny,62,0,0
47132,1433,0,0,deny,60,0,0
56119,37965,0,0,deny,62,0,0
51080,445,0,0,drop,66,0,0
51076,445,0,0,drop,66,0,0
51003,445,0,0,drop,70,0,0
54502,34729,0,0,deny,66,0,0
53626,30317,0,0,deny,66,0,0
53712,25174,0,0,deny,66,0,0
51001,445,0,0,drop,70,0,0
33726,44847,0,0,deny,62,0,0
22568,37965,0,0,deny,66,0,0
443,49988,0,0,deny,82,0,0
55667,445,0,0,drop,70,0,0
55665,445,0,0,drop,70,0,0
55660,445,0,0,drop,70,0,0
55658,445,0,0,drop,70,0,0
53985,30188,0,0,deny,62,0,0
57613,42707,0,0,deny,62,0,0
6666,6001,0,0,deny,60,0,0
45941,23386,0,0,deny,60,0,0
51000,445,0,0,drop,70,0,0
51071,445,0,0,drop,66,0,0
50999,445,0,0,drop,70,0,0
50998,445,0,0,drop,70,0,0
55759,5900,0,0,deny,60,0,0
50995,445,0,0,drop,70,0,0
50992,445,0,0,drop,70,0,0
51067,445,0,0,drop,66,0,0
51066,445,0,0,drop,66,0,0
51065,445,0,0,drop,66,0,0
51062,445,0,0,drop,66,0,0
51057,445,0,0,drop,66,0,0
51063,445,0,0,drop,66,0,0
