Action,Bytes Sent,Bytes Received,Elapsed Time (sec),Destination Port_80,Destination Port_443,Destination Port_445,Destination Port_25174,Destination Port_Other,NAT Source Port_48817,NAT Source Port_50116,NAT Source Port_57596,NAT Source Port_58638,NAT Source Port_Other,NAT Destination Port_53,NAT Destination Port_80,NAT Destination Port_443,NAT Destination Port_27015,NAT Destination Port_Other
allow,94,83,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,1600,3168,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,118,120,1199,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,1438,1889,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,6778,18580,16,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,1595,2366,16,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,140,180,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,3269,4643,96,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,70,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,1674,6582,75,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,378,318,35,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,870,7072,15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,3639,1166,31,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,86,82,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,950,6342,75,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,2532,8390,28,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,78,132,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,102,93,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,94,83,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,94,83,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,3240,9753,24,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,3610,627,31,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
